Recency,Frequency,Monetary,Cluster_4
11,7,2067.13,0
91,7,1900.89,0
53,13,2208.3,0
90,1,1070.48,1
31,7,1000.23,0
12,7,1777.92,0
3,4,1839.3,1
2,24,1925.36,2
43,1,169.48000000000002,1
4,1,89.94,1
247,2,632.4000000000001,3
42,10,3427.85,0
177,1,683.17,3
92,4,975.23,1
110,4,1050.12,1
29,7,2201.64,0
26,15,3315.71,0
52,5,1450.6,1
179,5,822.0600000000001,3
32,8,2043.93,0
44,5,1447.51,1
22,4,775.46,1
10,6,3093.86,0
81,2,490.86,1
326,1,146.85,3
43,13,2323.5,0
30,2,890.34,1
184,1,213.7,3
235,2,280.55,3
9,14,2535.88,0
176,5,1677.48,3
111,3,1474.06,1
278,1,136.77,3
318,1,302.58,3
7,3,1904.05,1
2,5,2879.7000000000003,0
254,3,935.06,3
51,6,3087.27,0
142,1,120.0,1
51,2,1163.45,1
8,8,2618.23,0
155,3,319.47,3
109,2,530.18,1
151,7,1279.09,1
332,1,492.65,3
226,1,112.32,3
74,2,437.96,1
51,4,559.97,1
88,5,1019.39,1
15,4,3957.0,0
197,1,134.04,3
3,15,3729.34,0
31,3,578.45,1
21,4,1910.01,1
24,5,4595.81,0
8,4,151.23,1
212,2,413.85,3
9,6,911.26,1
11,6,2307.4500000000003,0
2,12,3873.3,0
8,14,4819.33,2
3,4,1046.56,1
40,2,154.70000000000002,1
18,6,1284.06,1
8,18,2855.35,0
19,1,43.2,1
108,2,632.04,1
223,2,197.1,3
71,5,1803.76,0
51,3,2083.42,1
89,6,2995.7200000000003,0
8,10,2319.6800000000003,0
225,2,229.71,3
47,6,1611.59,0
107,1,120.0,1
21,7,2456.98,0
65,1,508.58,1
207,3,343.11,3
11,5,1530.75,1
115,4,574.26,1
235,2,166.85,3
163,1,311.65000000000003,3
9,14,4928.74,2
124,2,462.66,1
23,3,866.3100000000001,1
64,2,351.45,1
17,9,2539.46,0
16,2,468.26,1
17,4,1614.91,1
158,4,554.22,3
235,4,289.91,3
219,1,134.7,3
45,9,2166.38,0
21,6,607.71,1
127,8,889.9300000000001,1
39,1,108.98,1
121,2,1021.58,1
260,1,409.57,3
10,1,133.5,1
271,2,258.7,3
165,1,51.0,3
157,4,1078.96,3
215,1,90.6,3
6,2,163.62,1
366,1,174.4,3
60,4,666.9399999999999,1
43,1,225.77,1
19,6,882.58,1
32,4,2128.23,0
22,1,161.2,1
109,8,3717.35,0
8,19,9167.82,2
320,1,155.0,3
295,1,100.5,3
358,1,76.55,3
185,1,257.68,3
191,2,617.05,3
44,2,348.1,1
52,1,202.68,1
26,1,626.07,1
38,3,1247.69,1
9,3,202.11,1
297,1,142.4,3
33,3,1770.56,1
9,10,3172.04,0
9,5,999.72,1
10,13,4592.47,2
218,1,67.95,3
2,12,3471.91,0
65,2,487.99,1
1,23,2556.68,2
141,2,559.7,1
4,14,4039.98,0
130,5,1426.31,1
34,7,1434.72,0
119,1,156.75,1
107,9,2111.08,0
11,7,2606.53,0
71,7,1908.25,0
16,15,576.3,0
311,1,1063.0,3
35,3,761.33,1
362,1,122.7,3
92,8,1485.13,0
1,18,5811.56,2
22,2,490.22,1
4,3,1937.25,1
11,6,1058.06,1
85,2,385.87,1
57,2,813.11,1
1,6,4263.64,0
218,1,265.2,3
18,1,322.08,1
19,16,3918.9,2
50,2,363.34,1
7,7,1230.14,0
299,2,397.7600000000001,3
10,6,2255.51,0
22,6,1372.8,0
99,1,89.06,1
306,1,131.9,3
320,1,2661.24,3
8,5,2357.68,0
1,10,1545.14,0
2,5,1544.62,1
54,7,1400.88,0
1,4,1039.58,1
19,5,1163.23,1
9,2,375.35,1
19,4,907.1,1
181,3,483.25,3
60,2,662.59,1
11,2,264.44,1
190,1,119.93,3
5,14,3047.63,0
311,1,113.64,3
155,1,1837.92,3
110,4,383.34,1
148,3,2103.06,1
64,15,1965.9,0
98,3,529.62,1
247,3,1058.62,3
29,7,2272.4,0
18,4,598.76,1
12,2,461.19,1
104,8,1936.84,0
74,2,234.34,1
43,2,537.71,1
72,6,799.82,1
257,1,215.7,3
20,5,1307.81,1
254,2,316.25,3
11,1,279.05,1
165,2,636.51,3
18,6,2068.15,0
150,2,129.20000000000002,3
50,1,321.92,1
39,1,165.75,1
27,7,1183.58,0
51,2,1047.43,1
207,1,463.38,3
175,2,340.93,3
7,7,2362.84,0
26,1,139.56,1
51,2,123.8,1
312,2,538.8100000000001,3
301,2,457.47,3
43,5,1957.32,0
26,3,815.32,1
88,3,356.85,1
64,3,190.31,1
20,14,2351.02,0
3,6,3543.26,0
47,4,673.26,1
17,11,5818.7,2
17,5,2012.17,0
24,7,1368.18,0
22,2,276.42,1
11,6,1267.41,1
188,2,275.28,3
101,4,438.49,1
61,3,1055.35,1
18,6,2102.09,0
33,2,330.45,1
64,1,174.37,1
2,2,270.6,1
24,4,974.54,1
108,1,241.09,1
32,9,1867.68,0
9,13,4221.37,0
37,1,364.22,1
60,3,620.04,1
26,6,2925.91,0
236,4,932.85,3
25,9,1812.62,0
3,25,4075.35,2
59,4,2841.09,0
260,1,171.8,3
58,1,355.56,1
65,2,388.25,1
16,2,537.48,1
10,3,996.26,1
59,8,1461.65,0
186,1,103.25,3
4,21,2916.17,2
24,2,2024.45,1
4,9,2487.02,0
4,9,3986.74,0
151,2,652.8,3
311,1,289.24,3
11,2,765.62,1
18,2,186.23,1
152,1,165.07,3
19,5,859.27,1
10,4,2381.04,0
57,2,324.14,1
7,24,2174.18,2
76,3,1080.76,1
4,22,4709.22,2
96,6,3073.77,0
111,1,1432.0,1
35,3,1524.46,1
1,1,227.39,1
281,2,218.06,3
3,10,2803.69,0
180,13,1603.72,0
13,4,859.71,1
3,1,168.63,1
17,1,138.6,1
41,1,114.11,1
6,5,1052.55,1
169,5,1029.26,3
50,1,157.05,1
227,3,134.16,3
19,10,1598.24,0
15,4,1447.14,1
35,3,570.46,1
22,3,617.99,1
7,2,379.83,1
20,6,1740.6,0
11,2,883.15,1
44,1,221.97,1
306,1,393.33,3
11,1,213.96,1
275,1,660.0,3
16,17,11341.1,2
4,4,1785.15,1
72,4,601.56,1
243,3,406.08,3
9,4,538.59,1
239,2,379.51,3
204,3,393.28,3
1,6,1765.76,0
185,1,320.58000000000004,3
32,6,869.35,1
57,2,225.85,1
185,5,848.48,3
9,7,2757.07,0
91,2,671.96,1
4,3,939.21,1
51,3,1006.98,1
263,1,114.56,3
266,1,344.90000000000003,3
36,2,609.85,1
51,1,443.6,1
52,8,2952.34,0
16,8,2042.15,0
22,1,110.46,1
59,1,96.12,1
170,3,668.61,3
9,4,780.46,1
157,2,597.09,3
201,1,243.22,3
5,4,1417.29,1
67,2,654.6,1
77,1,114.18,1
1,7,1947.55,0
4,5,1930.15,0
169,2,291.05,3
18,5,838.27,1
5,2,247.15,1
9,12,2456.53,0
87,2,285.74,1
27,1,107.95,1
29,4,771.17,1
20,2,637.89,1
61,7,1258.38,0
24,1,195.25,1
11,27,9231.2,2
242,3,1269.99,3
280,2,411.53,3
235,2,765.5500000000001,3
3,5,1736.4,0
16,1,604.75,1
31,8,2543.24,0
71,3,498.95,1
188,2,52.0,3
26,5,1236.28,1
107,1,628.38,1
8,27,5107.38,2
209,1,112.8,3
44,3,358.61,1
31,5,2114.33,0
137,5,582.05,1
265,1,172.9,3
4,9,2070.97,0
218,2,188.61,3
2,5,1250.76,1
214,1,109.13,3
32,3,2235.3,1
11,12,2486.2200000000003,0
1,18,3250.64,2
15,1,318.17,1
11,9,1546.91,0
199,1,179.0,3
3,4,1096.67,1
15,14,4911.14,2
14,4,606.13,1
10,12,2838.2,0
29,3,917.07,1
9,12,2664.26,0
24,1,160.19,1
25,4,867.38,1
43,2,329.68,1
2,6,1592.18,0
6,3,663.81,1
147,1,187.92,3
10,6,1158.3,1
25,1,718.08,1
274,1,268.58,3
1,8,2005.06,0
47,3,380.02,1
8,10,2686.34,0
9,15,9451.54,2
4,34,5807.6900000000005,2
4,3,1164.55,1
39,9,1289.94,0
2,8,3899.1,0
191,4,1423.21,3
12,6,1400.34,0
16,9,1088.53,0
113,6,1167.16,1
248,2,294.3,3
29,6,1311.79,1
44,1,389.64,1
87,1,563.15,1
45,2,638.05,1
10,12,4965.38,2
15,1,738.96,1
75,1,420.5,1
145,4,1484.06,1
5,3,1625.97,1
294,2,53.8,3
59,2,255.9,1
264,1,300.52,3
44,2,250.55,1
29,3,254.11,1
8,8,2423.07,0
17,3,139.5,1
3,10,10641.6,2
232,2,876.4200000000001,3
112,1,139.26,1
58,3,1011.9,1
51,13,2195.58,0
127,2,730.86,1
281,3,386.15,3
55,2,447.68,1
320,1,200.1,3
26,2,289.99,1
10,2,77.4,1
7,2,679.44,1
29,1,197.64,1
17,4,745.06,1
4,2,214.14,1
3,9,1272.11,0
166,1,131.45000000000002,3
1,27,7839.51,2
53,3,173.74,1
51,1,157.7,1
48,16,4236.34,2
61,1,193.14,1
162,3,845.5500000000001,3
9,1,353.27,1
15,4,554.65,1
75,1,193.39,1
40,15,2175.37,0
41,11,2087.88,0
37,2,778.5,1
197,1,271.85,3
200,2,1110.34,3
74,3,657.8,1
64,2,272.07,1
21,4,507.29,1
367,1,48.8,3
180,3,321.43,3
10,4,1127.71,1
4,12,2226.9100000000003,0
197,3,2139.76,3
29,6,644.65,1
53,1,197.13,1
18,8,1698.35,0
10,3,102.45,1
90,5,1641.2,1
268,1,62.85,3
53,6,3295.76,0
35,8,2456.8,0
64,4,3189.81,0
149,1,309.40000000000003,3
22,28,7904.28,2
312,2,278.15,3
23,2,511.35,1
58,6,2836.69,0
9,3,463.05,1
78,8,2749.89,0
119,2,645.65,1
36,3,1311.38,1
60,3,1165.65,1
13,5,1352.04,1
9,2,168.62,1
52,1,125.79,1
26,2,841.2,1
29,1,266.76,1
7,2,52.2,1
186,4,701.33,3
3,9,2939.64,0
4,3,721.95,1
262,1,327.25,3
3,4,522.38,1
210,1,519.68,3
9,5,1448.72,1
13,9,1485.54,0
77,3,706.19,1
20,1,255.4,1
27,2,589.7,1
19,7,756.64,1
132,1,765.3199999999999,1
253,1,364.8,3
79,1,1862.0,1
207,1,369.2,3
336,1,135.9,3
254,1,125.65,3
148,2,554.38,3
10,2,1237.85,1
85,1,655.75,1
8,24,11020.26,2
205,2,468.77,3
8,4,1366.38,1
23,8,1228.32,0
11,10,1414.99,0
21,2,314.11,1
21,10,2744.48,0
2,2,1025.44,1
154,3,599.9,3
3,10,3478.85,0
74,1,277.8,1
3,7,389.86,1
17,3,841.52,1
36,4,1227.43,1
86,3,258.83000000000004,1
71,5,1264.84,1
116,2,1610.15,1
213,2,977.77,3
30,2,1316.07,1
51,1,749.1,1
246,1,310.05,3
32,1,223.88,1
109,3,2372.86,1
5,6,964.68,1
366,1,363.53,3
73,3,1888.84,1
297,1,1784.71,3
9,9,8117.42,2
57,4,1617.63,1
30,14,5842.95,2
14,1,100.9,1
72,2,290.82,1
23,7,1066.57,0
9,2,361.25,1
79,1,311.69,1
46,15,7912.79,2
25,1,289.82,1
12,1,336.17,1
253,1,58.49,3
147,3,499.68,1
59,5,684.97,1
8,2,221.27,1
11,12,7006.58,2
271,1,126.7,3
10,5,1487.8,1
247,1,206.21,3
96,2,599.0,1
15,1,191.32,1
50,1,463.8,1
30,1,147.59,1
68,4,1592.06,1
35,3,1116.57,1
128,1,114.77,1
107,3,1314.45,1
37,1,114.39,1
57,1,279.94,1
57,8,765.86,0
72,5,1931.42,0
246,1,102.12,3
19,2,213.27,1
198,2,296.75,3
16,2,326.4,1
212,1,334.54,3
39,2,233.23,1
46,4,540.98,1
170,2,429.87,3
48,1,490.52,1
116,4,1641.76,1
147,1,1246.32,1
16,35,6180.49,2
51,1,502.09,1
159,1,156.91,3
12,3,1261.78,1
36,1,308.94,1
54,2,423.04,1
43,2,260.17,1
173,1,170.04,3
34,1,125.58,1
39,4,456.26,1
267,1,266.0,3
9,13,1872.28,0
12,4,905.04,1
3,12,6763.16,2
10,10,1661.33,0
33,1,377.01,1
80,3,469.0,1
31,6,1051.95,1
8,4,627.13,1
72,2,518.28,1
4,4,668.14,1
256,5,4464.1,3
5,11,2571.02,0
16,11,4277.66,0
90,1,252.73,1
72,3,465.55,1
43,7,665.59,1
170,1,180.35,3
199,1,135.93,3
31,1,537.0,1
19,22,7629.38,2
152,3,633.66,3
9,16,5064.01,2
270,1,343.62,3
65,5,380.57,1
274,1,121.17000000000002,3
25,5,1727.17,0
23,3,1391.61,1
319,1,215.78,3
5,3,697.79,1
12,2,302.1,1
275,2,1489.5,3
25,11,2124.99,0
41,11,1325.82,0
8,4,303.09000000000003,1
71,4,987.86,1
213,1,370.8,3
38,6,3135.98,0
32,2,760.59,1
78,3,1744.76,1
46,2,553.36,1
179,1,1109.53,3
94,2,982.07,1
10,4,612.43,1
105,1,748.87,1
78,1,773.03,1
173,1,880.85,3
213,5,893.66,3
22,6,487.35,1
257,1,88.2,3
282,1,306.94,3
21,3,1140.27,1
10,6,2420.84,0
308,1,381.32,3
54,2,476.96,1
215,2,457.81,3
18,9,4410.14,0
104,5,1364.7,1
43,1,219.39,1
4,1,248.08,1
182,5,649.5,3
84,1,410.48,1
330,6,635.1,3
9,3,310.03000000000003,1
31,2,703.36,1
167,3,1002.54,3
18,7,2298.93,0
18,7,1407.73,0
311,8,247.66,3
142,5,1291.75,1
241,2,463.75,3
24,7,970.25,0
29,3,1567.48,1
10,4,3439.41,0
30,10,2760.56,0
18,1,340.11,1
18,4,1352.75,1
15,6,1550.13,0
134,1,244.8,1
246,1,266.4,3
130,2,343.82,1
50,2,457.72,1
85,6,1612.13,0
7,2,2199.31,1
23,2,184.19,1
25,23,11117.05,2
66,1,406.53,1
60,8,1419.54,0
50,11,3447.4,0
170,1,330.11,3
18,5,977.93,1
128,3,982.42,1
15,8,1387.99,0
233,2,127.15,3
3,5,1282.45,1
240,2,178.96,3
52,8,2350.0,0
46,1,498.74,1
226,1,259.45,3
8,18,6530.04,2
4,4,1194.73,1
165,3,1313.66,3
219,2,608.65,3
11,1,301.29,1
134,1,520.8000000000001,1
17,11,5303.97,2
10,16,4684.24,2
31,1,329.25,1
74,2,240.27,1
1,3,961.49,1
4,5,1869.5,0
45,1,401.4,1
357,1,158.16,3
18,2,304.47,1
69,3,843.05,1
321,1,163.0,3
26,1,106.56,1
325,2,1034.5,3
9,5,1624.05,0
323,1,135.75,3
72,1,224.14,1
260,1,40.5,3
18,7,2186.2000000000003,0
367,1,87.5,3
66,5,680.28,1
154,2,622.85,3
29,2,406.76,1
70,1,310.62,1
14,2,411.41,1
2,18,4670.08,2
120,3,1044.32,1
61,1,499.32,1
3,22,7521.17,2
3,1,3861.0,0
9,5,656.44,1
92,2,193.64,1
59,4,1268.7,1
79,11,927.84,0
26,6,1827.8,0
357,1,316.58,3
85,3,648.8299999999999,1
10,4,420.3,1
1,6,867.62,1
225,1,331.18,3
60,2,894.4100000000001,1
239,2,88.95,3
319,3,325.05,3
2,8,1661.44,0
45,6,615.99,1
88,1,96.6,1
11,11,5756.89,2
176,1,305.75,3
52,7,1758.92,0
366,2,114.1,3
319,1,585.0,3
226,3,454.9,3
358,3,310.48,3
234,1,409.4,3
311,1,154.41,3
37,5,1219.4,1
66,5,3376.96,0
239,2,429.6,3
113,2,612.06,1
277,1,197.0,3
218,12,2247.51,0
299,1,321.05,3
2,4,1412.32,1
29,5,1056.54,1
10,3,764.34,1
45,7,1685.57,0
67,9,1738.59,0
74,1,316.68,1
65,2,631.57,1
134,3,2515.84,1
238,2,514.15,3
122,1,356.0,1
32,15,6657.360000000001,2
9,15,10327.11,2
36,2,740.78,1
16,6,915.3,1
127,1,300.36,1
67,1,890.85,1
149,1,98.45,3
281,2,232.15,3
169,2,623.16,3
100,8,1780.77,0
135,1,254.82,1
324,1,178.95000000000002,3
107,1,156.51,1
64,1,393.74,1
151,2,1506.12,3
338,1,119.3,3
22,5,1717.36,0
24,1,408.8,1
16,9,2298.2,0
7,16,2485.82,0
57,2,721.94,1
4,2,716.57,1
31,2,609.19,1
66,1,135.31,1
47,1,255.9,1
355,2,277.41,3
172,1,113.12,3
59,12,2239.95,0
50,1,240.55,1
22,3,485.24,1
43,5,2306.52,0
29,4,935.1,1
5,21,7803.769999999999,2
26,20,4596.51,2
201,1,180.94,3
44,10,3610.31,0
10,4,635.0400000000001,1
2,14,3774.1,0
67,11,3787.09,0
64,1,496.44,1
51,14,5028.12,2
290,1,574.02,3
61,10,680.3,0
64,3,1174.35,1
96,1,205.3,1
271,2,302.27,3
75,5,921.1,1
110,1,52.0,1
199,1,327.97,3
64,3,551.54,1
327,1,165.0,3
4,1,312.62,1
284,1,204.5,3
44,1,267.13,1
49,4,2650.73,0
64,2,602.97,1
104,1,162.29,1
334,1,311.71,3
53,1,208.75,1
35,5,1005.5,1
32,2,714.9599999999999,1
366,4,1661.06,3
208,1,1028.56,3
157,3,351.67,3
54,1,173.97,1
66,3,557.57,1
81,1,2020.52,1
116,2,391.76,1
87,1,364.5,1
1,5,476.58,1
35,2,367.69,1
333,1,252.42,3
366,1,201.6,3
72,1,158.04,1
158,2,473.81,3
12,10,1862.14,0
255,2,777.02,3
29,2,277.05,1
31,10,2766.5,0
5,29,8234.8,2
40,1,427.93,1
362,1,418.92,3
241,2,318.05,3
96,2,913.19,1
26,9,1330.45,0
75,2,602.51,1
57,5,1867.69,0
21,1,446.94000000000005,1
41,8,2360.55,0
137,1,2007.4,1
8,13,2213.11,0
129,1,168.0,1
40,3,1233.36,1
169,8,3631.89,0
9,6,1682.36,0
214,2,596.85,3
15,8,5927.86,0
170,3,635.76,3
40,1,316.88,1
186,1,394.14,3
270,1,140.54,3
172,1,500.0,3
5,5,1515.73,1
16,2,231.86,1
10,4,2183.54,0
326,1,107.45,3
113,1,288.18,1
290,1,94.0,3
16,3,1339.63,1
1,3,815.77,1
92,6,666.7,1
149,2,626.77,3
189,1,349.1,3
18,4,426.61,1
34,4,1056.44,1
264,1,267.18,3
84,8,3450.84,0
26,5,1346.38,1
171,1,190.53,3
10,3,774.9000000000001,1
313,1,572.8100000000001,3
65,5,3974.37,0
85,1,508.8,1
25,1,135.86,1
59,4,950.36,1
323,2,97.7,3
38,1,43.5,1
254,2,383.34,3
19,7,1429.9,0
33,3,1483.14,1
15,1,93.78,1
27,3,364.9,1
23,1,171.19000000000003,1
79,3,417.87,1
8,6,997.48,1
22,1,149.29,1
12,3,1122.53,1
262,1,200.16,3
131,1,156.57999999999998,1
55,3,383.68,1
249,1,594.0,3
2,8,3212.16,0
9,2,1418.26,1
264,1,113.5,3
331,1,155.17000000000002,3
313,1,494.64,3
26,5,971.22,1
30,1,429.84,1
30,3,538.73,1
2,7,1388.37,0
362,1,179.1,3
283,3,447.22,3
262,1,237.07,3
25,1,161.64,1
354,1,216.76,3
94,3,234.6,1
29,1,126.14,1
338,1,1048.85,3
20,24,6945.02,2
85,1,334.53,1
9,4,511.88,1
35,5,438.46,1
43,4,504.5,1
2,1,469.48,1
113,1,371.56,1
14,10,1465.2,0
77,1,454.11,1
40,2,1441.42,1
116,1,905.5,1
16,16,6568.72,2
161,4,233.81,3
1,5,3563.11,0
30,3,2575.0,0
93,1,91.32,1
23,4,1090.03,1
95,7,3090.85,0
28,2,659.46,1
33,7,1967.25,0
21,2,1299.23,1
18,3,1259.7,1
8,4,1131.56,1
16,23,5541.46,2
363,1,147.09,3
81,1,52.83,1
53,7,3497.14,0
23,3,979.26,1
172,1,492.36,3
189,6,1000.27,3
331,1,250.0,3
12,5,909.23,1
156,2,121.0,3
12,13,2963.19,0
45,3,62.43,1
233,1,267.03,3
64,13,1911.89,0
2,1,343.5,1
36,13,2574.65,0
33,2,398.84,1
84,1,412.0100000000001,1
25,1,440.0,1
2,4,811.02,1
33,2,148.44,1
19,10,2348.82,0
254,1,229.33,3
23,12,3967.78,0
22,4,1502.35,1
8,2,2007.44,1
25,6,1517.08,0
19,5,746.92,1
173,7,459.9,3
163,1,110.92,3
7,1,538.46,1
11,1,213.3,1
114,1,85.13000000000001,1
288,1,127.86,3
9,11,3542.51,0
54,2,292.72,1
7,14,4954.84,2
77,4,1655.76,1
4,4,575.63,1
37,1,436.06,1
217,1,90.12,3
60,1,437.23,1
278,1,217.2,3
12,20,4758.2,2
24,1,279.77,1
29,1,473.65,1
12,5,722.74,1
352,1,134.55,3
9,7,1319.69,0
50,2,173.16000000000005,1
19,1,186.01,1
3,3,758.29,1
104,5,1375.71,1
7,13,4109.97,0
12,4,650.4300000000001,1
5,7,2552.86,0
32,2,607.45,1
178,4,702.25,3
38,1,940.67,1
151,3,258.88,3
162,1,127.1,3
69,2,348.6,1
121,14,3429.9700000000003,0
25,3,682.9100000000001,1
24,5,722.61,1
177,1,455.3,3
50,4,913.68,1
253,4,456.58,3
47,1,388.58,1
71,1,199.8,1
16,6,1767.53,0
101,9,1343.34,0
30,2,315.72,1
35,3,235.68,1
27,2,761.74,1
11,17,6745.360000000001,2
8,15,1083.63,0
79,1,48.48,1
52,1,216.39,1
36,5,1198.23,1
57,11,2422.64,0
337,1,104.76,3
28,4,1093.68,1
183,2,270.03000000000003,3
52,1,112.46,1
10,15,1568.39,0
36,2,195.15,1
10,27,10360.04,2
33,5,747.031,1
11,1,336.4,1
50,6,1524.4,0
4,6,1158.77,1
3,16,3224.53,0
141,1,301.03000000000003,1
117,4,588.13,1
100,8,1504.56,0
75,2,675.8,1
5,10,2865.64,0
45,3,1180.4,1
16,10,3147.31,0
17,1,243.55,1
90,2,724.76,1
53,1,223.36,1
134,1,425.32,1
105,4,1887.2,1
179,6,647.4,3
166,4,813.0,3
19,1,612.01,1
158,4,425.14,3
204,4,599.9,3
336,2,816.0,3
37,3,646.3,1
91,1,337.74,1
93,2,877.44,1
9,2,922.53,1
233,2,511.32,3
45,4,748.5,1
23,1,30.0,1
190,8,958.9,3
44,1,306.45,1
25,12,1552.01,0
317,2,309.8,3
106,1,138.14,1
51,2,358.63,1
168,2,2242.01,3
40,1,301.32000000000005,1
218,1,76.32000000000001,3
40,5,677.69,1
297,1,173.05,3
19,10,2635.49,0
88,4,2881.02,0
73,8,1744.02,0
81,3,323.69,1
9,5,3324.09,0
49,1,657.23,1
53,1,352.7,1
24,4,781.28,1
9,3,1333.68,1
18,6,946.36,1
117,1,193.75,1
9,11,2981.5,0
120,2,254.1,1
4,2,239.76,1
252,1,136.8,3
28,1,191.04,1
1,15,6423.6,2
267,2,409.98,3
33,12,2644.46,0
18,1,309.65,1
172,3,664.03,3
2,4,1542.14,1
265,1,211.5,3
140,4,2293.62,1
201,1,143.1,3
60,7,1001.81,1
35,4,945.58,1
41,11,3329.7200000000003,0
284,1,133.25,3
9,5,1072.36,1
143,3,346.75,1
12,2,330.88,1
146,4,1118.81,1
234,1,150.3,3
33,14,5043.96,2
24,1,598.73,1
12,1,507.08,1
36,6,2181.21,0
365,1,203.1,3
201,3,212.3,3
15,1,415.25,1
17,7,5178.96,0
198,2,62.0,3
66,4,1108.38,1
212,2,294.12,3
283,1,162.3,3
115,2,1339.45,1
15,12,1121.21,0
19,19,4788.77,2
66,1,449.12,1
49,1,154.88,1
16,4,784.46,1
78,1,34.8,1
9,6,1071.24,1
134,2,182.96,1
13,3,974.04,1
40,1,149.31,1
3,9,2451.23,0
40,8,2628.93,0
305,1,79.2,3
51,4,455.67,1
1,8,2318.88,0
61,4,532.96,1
66,2,714.42,1
25,1,205.25,1
218,3,253.04,3
65,2,583.75,1
32,3,1048.67,1
81,10,3245.47,0
64,1,315.06,1
116,4,581.83,1
6,1,635.6800000000001,1
69,1,270.8,1
245,1,104.9,3
133,1,241.62,1
241,5,1021.61,3
184,3,475.28,3
25,4,333.56,1
10,4,2593.94,0
11,1,246.3,1
30,8,2303.75,0
44,5,4834.2,0
26,3,948.05,1
358,1,351.3,3
10,1,220.85,1
44,3,1604.44,1
9,4,948.96,1
150,1,610.01,3
1,10,2666.61,0
113,4,2207.4,1
76,3,884.14,1
107,2,699.08,1
46,4,1042.19,1
51,1,415.8200000000001,1
1,19,3848.55,2
23,20,5452.17,2
46,3,784.58,1
50,3,903.9,1
306,5,3724.77,3
36,6,399.21,1
79,7,1145.43,0
17,9,2171.32,0
107,5,1801.14,1
208,2,1303.91,3
3,6,1842.73,0
64,5,2100.6,0
49,4,1905.45,1
320,1,206.98,3
44,2,570.96,1
3,2,885.47,1
172,1,532.94,3
51,4,1649.36,1
73,20,1641.48,0
99,2,636.14,1
29,2,547.7,1
58,4,747.76,1
254,1,836.79,3
70,6,2084.9,0
44,4,954.09,1
45,2,117.47,1
65,1,391.98,1
25,5,1020.74,1
59,3,345.66,1
64,6,1209.1,1
304,1,118.95,3
46,1,130.73999999999998,1
18,10,3650.87,0
38,2,389.27,1
19,2,238.85,1
187,2,160.71,3
52,1,110.8,1
4,12,2974.65,0
137,5,712.24,1
19,1,297.0,1
16,5,1438.85,1
41,8,977.21,0
12,9,3000.36,0
8,4,832.88,1
26,2,68.84,1
22,8,1769.78,0
41,3,895.13,1
101,1,230.53,1
5,16,3797.79,2
277,2,149.64,3
33,1,354.09000000000003,1
15,2,360.93,1
63,9,4330.67,0
2,3,440.78,1
312,8,438.24,3
199,5,495.36,3
2,2,396.48,1
93,3,379.35,1
60,1,181.09,1
80,2,141.27,1
157,2,446.87,3
227,1,524.52,3
253,2,263.55,3
150,1,179.17,3
194,2,222.05,3
1,6,1384.68,0
24,1,351.11,1
17,3,363.88,1
10,8,5126.34,0
8,1,164.68,1
20,8,1521.79,0
4,3,967.45,1
174,1,191.94,3
1,8,1232.18,0
178,2,264.62,3
16,10,1491.24,0
248,1,123.1,3
191,2,334.23,3
20,2,639.89,1
154,4,167.5,3
173,1,336.03000000000003,3
194,1,207.15,3
67,1,426.63,1
4,11,2461.85,0
21,3,1107.46,1
239,2,416.86,3
64,1,145.35000000000002,1
112,5,404.58,1
90,16,6102.26,2
311,2,31.8,3
134,1,337.44,1
277,1,325.1,3
365,1,181.0,3
83,1,1708.24,1
8,2,955.24,1
17,2,364.72,1
2,5,1705.26,0
1,3,669.57,1
34,4,806.57,1
15,10,1634.53,0
24,16,4389.81,2
32,1,428.89,1
74,1,104.35,1
20,2,470.76,1
17,4,845.64,1
23,2,418.83,1
3,4,582.9,1
304,1,314.1,3
18,12,4199.85,0
236,3,99.77000000000002,3
39,8,3429.55,0
84,1,371.01,1
165,2,430.94,3
17,2,1054.73,1
77,1,1098.78,1
89,3,2398.86,1
25,8,3408.48,0
22,4,1475.02,1
3,11,2816.97,0
123,3,1037.42,1
30,1,168.12,1
12,7,1451.28,0
19,1,158.03,1
44,2,792.11,1
4,1,41.99,1
9,10,2756.82,0
55,1,427.07,1
88,7,1044.78,1
37,6,3084.17,0
30,5,2735.37,0
12,4,615.39,1
211,1,101.4,3
48,4,1701.94,1
24,3,478.78,1
22,4,992.71,1
246,3,407.5,3
8,16,3362.71,0
35,3,1415.29,1
36,4,653.13,1
4,4,690.54,1
3,10,1483.31,0
47,1,211.88,1
39,2,408.9,1
2,10,3450.24,0
17,3,851.01,1
260,1,628.28,3
46,3,719.81,1
12,1,251.24,1
30,1,439.66,1
43,1,236.09,1
92,7,852.12,1
310,1,331.24,3
92,2,548.94,1
6,27,8727.61,2
196,3,437.7000000000001,3
87,2,758.9200000000001,1
270,3,855.02,3
8,4,454.33,1
65,3,1313.55,1
31,3,3166.4,0
22,7,1147.37,0
38,4,773.99,1
120,4,1340.7,1
86,3,243.69000000000003,1
40,3,1111.79,1
174,1,137.9,3
54,1,362.06,1
33,2,1511.95,1
145,1,783.9,1
221,1,134.8,3
45,1,664.85,1
4,10,2140.2200000000003,0
66,6,1459.86,0
10,4,1153.62,1
260,1,335.32,3
365,1,372.09,3
17,5,1521.87,1
22,2,852.15,1
